TextLength,ActionCount,Algorithm,AvgTimeNs,AvgPush,AvgPop,AvgComparisons,AvgAuxChars
100,100,A,326892,300,200,300,5362
100,100,B,227873,300,200,300,393
100,1000,A,1950166,3000,2000,3000,7524
100,1000,B,2209723,3000,2000,3000,2167
100,10000,A,17659531,30000,20000,30000,29609
100,10000,B,20669876,30000,20000,30000,20198
1000,100,A,1826666,300,200,300,95534
1000,100,B,234887,300,200,300,1309
1000,1000,A,11093833,3000,2000,3000,504799
1000,1000,B,2116691,3000,2000,3000,3958
1000,10000,A,25924683,30000,20000,30000,527357
1000,10000,B,20248754,30000,20000,30000,22002
10000,100,A,19741220,300,200,300,995707
10000,100,B,387567,300,200,300,10302
10000,1000,A,184417362,3000,2000,3000,9502715
10000,1000,B,3903015,3000,2000,3000,12974
10000,10000,A,953036473,30000,20000,30000,49954412
10000,10000,B,30169876,30000,20000,30000,40033
100000,100,A,195196917,300,200,300,9995254
100000,100,B,2758215,300,200,300,100296
100000,1000,A,1972300662,3000,2000,3000,99501394
100000,1000,B,25831040,3000,2000,3000,103000
100000,10000,A,20982790611,30000,20000,30000,949733827
100000,10000,B,246879710,30000,20000,30000,130169
